strategy,total_return,sharpe_ratio,calmar_ratio,max_drawdown
Base carry,0.18655667128010034,0.6243004444789051,0.5122041504347045,-0.04591450837094235
Timed carry UKF,0.2601361157423634,0.6928805440891702,0.5792199180337787,-0.055044253021255596
Timed carry RV_21d,0.2898762366424432,0.9765624141324889,0.7433869813471421,-0.046501741692822396
