date,ticker,spot,log_return,atm_implied_vol,rv_21d,rv_63d,benchmark_realized_vol,spread,smoothed_spread,spread_zscore,allocation,benchmark_name
2016-02-03,AAPL,96.34,0.019495429312968326,0.25617500000000004,0.424171597222048,,0.424171597222048,-0.16799659722204796,-0.16799659722204796,0.0,1.0,rv_21d
2016-02-04,AAPL,96.6,0.0026951400163977013,0.257845,0.41765623899517057,,0.41765623899517057,-0.15981123899517058,-0.16526814447975552,0.0,1.0,rv_21d
2016-02-05,AAPL,94.01,-0.027177581628013314,0.29235,0.4221885104531773,,0.4221885104531773,-0.1298385104531773,-0.1534582664708961,0.0,1.0,rv_21d
2016-02-08,AAPL,95.01,0.010580989628198978,0.295305,0.399068683065205,,0.399068683065205,-0.103763683065205,-0.13689340533566574,0.0,1.0,rv_21d
2016-02-09,AAPL,95.02,0.00010524654011678791,0.300985,0.3985498340313841,,0.3985498340313841,-0.0975648340313841,-0.12378388156757186,1.36062000699222,1.5442480027968881,rv_21d
2016-02-10,AAPL,94.27,-0.007924390350716237,0.300975,0.3942782559257909,,0.3942782559257909,-0.09330325592579092,-0.11362367302031155,1.336804795637762,1.5347219182551048,rv_21d
2016-02-11,AAPL,93.65,-0.006598576517961696,0.30838,0.3898832641458661,,0.3898832641458661,-0.08150326414586612,-0.10291687006216309,1.3627800236051748,1.5451120094420698,rv_21d
2016-02-12,AAPL,93.99,0.0036239647421130172,0.283605,0.3815038449218693,,0.3815038449218693,-0.09789884492186929,-0.1012441950153985,1.1850781326144153,1.4740312530457662,rv_21d
2016-02-16,AAPL,96.62,0.02759736549405023,0.262805,0.3868521290620016,,0.3868521290620016,-0.1240471290620016,-0.10884517303093288,0.8166242672431357,1.3266497068972543,rv_21d
2016-02-17,AAPL,98.11,0.015303539049039472,0.25625,0.38168353068853034,,0.38168353068853034,-0.12543353068853036,-0.1143746255834654,0.5683289129896338,1.2273315651958536,rv_21d
2016-02-18,AAPL,96.26,-0.019036434300336857,0.253795,0.3873010084212682,,0.3873010084212682,-0.1335060084212682,-0.12075175319606633,0.30298288554464514,1.1211931542178581,rv_21d
2016-02-19,AAPL,96.04,-0.002288092521910201,0.24852000000000002,0.3873232333000042,,0.3873232333000042,-0.13880323330000416,-0.12676891323071227,0.05292482050867983,1.0211699282034719,rv_21d
