date,ticker,spot,log_return,atm_implied_vol,rv_21d,rv_63d,estimated_variance,estimated_realized_vol,predicted_return,innovation,window_log_likelihood,spread,smoothed_spread,spread_zscore,allocation
2016-03-04,AAPL,103.01,0.014767272413759969,0.20656999999999998,0.24669799441056556,,0.08391770390732478,0.2896855258850963,-0.0020466983300937297,0.0168139707438537,101.80984634055716,-0.0831155258850963,-0.0831155258850963,0.0,1.0
2016-03-07,AAPL,101.87,-0.011128580293626733,0.22529,0.2516438817481304,,0.0821881319767197,0.2866847257471519,-0.0020358225250646234,-0.00909275776856211,102.42997802883238,-0.061394725747151935,-0.07587525917244818,0.0,1.0
2016-03-08,AAPL,101.04,-0.008181012559739465,0.22162500000000002,0.23115776808046792,,0.08074354533162426,0.2841540873040968,-0.002033776299582943,-0.006147236260156522,102.90668336636367,-0.06252908730409679,-0.07142653521633105,0.0,1.0
2016-03-09,AAPL,101.11,0.000692555061072575,0.21461,0.22983984653883432,,0.07456089766675651,0.27305841438556056,-0.0020240347617211663,0.0027165898227937413,104.76473450964598,-0.05844841438556056,-0.06710049493940756,0.0,1.0
2016-03-10,AAPL,101.17,0.0005932371144909965,0.22244999999999998,0.2297695967052342,,0.07517119782907271,0.27417366363141576,-0.002025224946672427,0.0026184620611634235,105.0788601478257,-0.051723663631415784,-0.06197488450341031,1.2230054406419044,1.4892021762567618
2016-03-11,AAPL,102.25,0.010618524705112264,0.20957,0.22764385201342205,,0.07579150943966889,0.2753025779749781,-0.0020294955699210054,0.01264802027503327,105.3614309956399,-0.06573257797497808,-0.0632274489939329,0.8948680625389518,1.3579472250155806
2016-03-14,AAPL,102.52,0.002637106572959347,0.20514500000000002,0.22451945243705487,,0.07737749270951515,0.2781681015312776,-0.0020302572803361646,0.004667363853295511,105.78967109998477,-0.07302310153127756,-0.06649266650638112,0.45134139669126355,1.1805365586765055
2016-03-15,AAPL,104.58,0.019894427264113723,0.21402,0.2308782307295665,,0.07053048287940016,0.2655757573262291,-0.0020220084090816492,0.021916435673195372,105.87551720973147,-0.051555757326229135,-0.0615136967796638,0.9682983941824567,1.3873193576729828
2016-03-16,AAPL,105.97,0.013203706426760498,0.21048,0.21823114519820302,,0.07153233838498459,0.26745530165802395,-0.0020219250457182286,0.015225631472478726,106.19447138626595,-0.05697530165802395,-0.060000898405783855,1.0248567387488425,1.409942695499537
2016-03-17,AAPL,105.8,-0.0016055157625460836,0.208945,0.2154277977237635,,0.06808633650363778,0.26093358638480746,-0.0020103211046369474,0.0004048053420908637,107.0591066185739,-0.05198858638480747,-0.057330127732125064,1.1906269497074036,1.4762507798829614
2016-03-18,AAPL,105.92,0.0011335727644992133,0.196805,0.19947106018708824,,0.03760113876981682,0.19391013065287957,-0.00024923936787406287,0.0013828121323732762,108.86381801170927,0.002894869347120438,-0.0372551287057099,2.3002939594276626,1.9201175837710651
2016-03-21,AAPL,105.91,-9.441533312060102e-05,0.21439000000000002,0.19866610772350166,,0.03830166084148188,0.19570810111357648,-0.0002495348308962763,0.00015511949777567528,109.42783696984372,0.018681898886423548,-0.01860945284166542,2.422376097261257,1.968950438904503
2016-03-22,AAPL,106.74,0.007806294050221041,0.21709,0.19845887429429107,,0.03359770176248639,0.18329675873426238,-0.00024731393640835785,0.008053607986629399,109.82717204513656,0.03379324126573763,-0.001141888139197739,2.3481270124244173,1.939250804969767
2016-03-23,AAPL,106.13,-0.005731213132067481,0.21894000000000002,0.1761922158511856,,0.05012201052579172,0.22387945534548656,-0.00026864334164433505,-0.005462569790423146,111.99831729426676,-0.0049394553454865375,-0.0024077438746273384,1.868840636003167,1.747536254401267
2016-03-24,AAPL,105.67,-0.004343727320791579,0.216755,0.17585998757128268,,0.046896685519903177,0.2165564257183406,-0.0002632274491080385,-0.004080499871683541,113.1930995181423,0.00019857428165939717,-0.0015389711558650935,1.641080886192256,1.6564323544769024
2016-03-28,AAPL,105.19,-0.004552791701756931,0.259925,0.1783761761983722,,0.05032670556416855,0.22433614413234562,-0.00027005492968736576,-0.004282736772069565,113.41249785208038,0.035588855867654395,0.01083697118530807,1.7724535714777958,1.7089814285911182
2016-03-29,AAPL,107.68,0.02339562714523513,0.26369,0.1902845365464979,,0.017938314350720942,0.13393399251392807,-0.00023236099665336057,0.023627988141888493,120.08089466486116,0.1297560074860719,0.05047664995222935,2.3477104458656917,1.9390841783462767
2016-03-30,AAPL,109.59,0.01758226357888315,0.26921,0.1928801456040852,,0.010328441921448772,0.10162894234148445,-0.00021477738350795823,0.017797040962391108,118.71509804911848,0.16758105765851555,0.08951145252099141,2.537865421303186,2.0
