proxy,corr_vs_rv_21d,corr_vs_rv_63d,mae_vs_rv_21d,mae_vs_rv_63d
UKF sigma_hat,0.3797672730889145,0.6231008102009962,0.17131841869795703,0.15833321174165862
IV ATM,0.45748012162269525,0.4621946184208047,0.1160308550107636,0.13713739525200258
