date,base_nav,ukf_timed_nav,rv_21d_timed_nav
2016-01-04,1.0,1.0,1.0
2016-01-05,1.0,1.0,1.0
2016-01-06,1.0,1.0,1.0
2016-01-07,0.9996110559417412,0.9996110559417412,0.9996110559417412
2016-01-08,1.0006537570340948,1.0006537570340948,1.0006537570340948
2016-01-11,1.0022623443115373,1.0022623443115373,1.0022623443115373
2016-01-12,1.0030895059841243,1.0030895059841243,1.0030895059841243
2016-01-13,1.0022600702677746,1.0022600702677746,1.0022600702677746
2016-01-14,1.003504160826543,1.003504160826543,1.003504160826543
2016-01-15,1.0037755175089775,1.0037755175089775,1.0037755175089775
2016-01-18,1.0037755175089775,1.0037755175089775,1.0037755175089775
2016-01-19,1.0046250697545753,1.0046250697545753,1.0046250697545753
2016-01-20,1.0046939185079895,1.0046939185079895,1.0046939185079895
2016-01-21,1.005198963902705,1.005198963902705,1.005198963902705
2016-01-22,1.0041334176358712,1.0041334176358712,1.0041334176358712
2016-01-25,1.0045976285199374,1.0045976285199374,1.0045976285199374
2016-01-26,1.006774975148301,1.006774975148301,1.006774975148301
2016-01-27,1.0079007682535452,1.0079007682535452,1.0079007682535452
2016-01-28,1.0101685534906377,1.0101685534906377,1.0101685534906377
2016-01-29,1.0147111922043996,1.0147111922043996,1.0147111922043996
2016-02-01,1.0151908321702767,1.0151908321702767,1.0151908321702767
2016-02-02,1.0149310225037487,1.0149310225037487,1.0149310225037487
2016-02-03,1.0157748337399586,1.0157748337399586,1.0157748337399586
2016-02-04,1.015888844802456,1.015888844802456,1.015888844802456
2016-02-05,1.0156111674118327,1.0156111674118327,1.0156111674118327
2016-02-08,1.0162975176063125,1.0162975176063125,1.0162975176063125
2016-02-09,1.0167785958879418,1.0167785958879418,1.0167785958879418
2016-02-10,1.0171448679974424,1.0171448679974424,1.0171448679974424
2016-02-11,1.0173216986287568,1.0173216986287568,1.017288055400011
2016-02-12,1.0184025543309256,1.0184025543309256,1.0187389866183836
2016-02-15,1.0184025543309256,1.0184025543309256,1.0187389866183836
2016-02-16,1.0188525950357845,1.0188525950357845,1.0194187168430073
2016-02-17,1.0181136058110472,1.0181136058110472,1.0183185409210618
2016-02-18,1.0191732048543385,1.0191732048543385,1.0199330461949767
2016-02-19,1.019656969002467,1.019656969002467,1.020580229275725
2016-02-22,1.0201498683260035,1.0201498683260035,1.0211891612094637
2016-02-23,1.0191762664134714,1.0191762664134714,1.0200354812023347
2016-02-24,1.0203513712786059,1.0203513712786059,1.0214129177326134
2016-02-25,1.0205077331554737,1.0205077331554737,1.0215948622736701
2016-02-26,1.02073588389691,1.02073588389691,1.0218590113437795
2016-02-29,1.0209039895481489,1.0209039895481489,1.022038825906323
2016-03-01,1.0196688808086165,1.0196688808086165,1.0204544778799396
2016-03-02,1.0198536633686726,1.0198536633686726,1.020727334182077
2016-03-03,1.0195004006405721,1.0195004006405721,1.020301918103084
2016-03-04,1.0159600562401392,1.0159600562401392,1.0155000844600162
2016-03-07,1.0160880957531975,1.0160880957531975,1.0157271709692564
2016-03-08,1.0162063830741077,1.0162063830741077,1.0159346637121545
2016-03-09,1.0163970178947497,1.0163970178947497,1.0162620133537492
2016-03-10,1.0165046581785926,1.0165046581785926,1.0164488251944885
2016-03-11,1.0167635218161262,1.0167635218161262,1.0168901876685132
2016-03-14,1.0168475488533186,1.0168386526425213,1.0170355414415106
2016-03-15,1.0162713729254942,1.016206134046314,1.0160719341769735
2016-03-16,1.0156365690620757,1.0155149875145124,1.0150086598989252
2016-03-17,1.0164288688326173,1.0164170072182208,1.0163246249771865
2016-03-18,1.0173670617779593,1.017475811862642,1.0178710486527183
2016-03-21,1.0175668571942968,1.0177574938669474,1.0181649728044615
2016-03-22,1.0175988244609109,1.0178025629876362,1.0182120006687405
2016-03-23,1.017662758994139,1.017892701229014,1.0183060563972983
2016-03-24,1.0177107098940599,1.0179603049100474,1.0183765981937167
2016-03-25,1.0177107098940599,1.0179603049100474,1.0183765981937167
2016-03-28,1.0178225725745966,1.018155828138643,1.0185551560359387
2016-03-29,1.0178944842977988,1.01828152164274,1.0186699432202242
2016-03-30,1.0176308079793905,1.0178206454610508,1.0182490568778437
2016-03-31,1.017886494106332,1.0182675556978404,1.018657189088637
2016-04-01,1.0180909888259573,1.0186504339624858,1.0190066272315548
2016-04-04,1.0181064691691197,1.0186814064210934,1.0190348786826753
2016-04-05,1.0181606503701879,1.01878981002622,1.019133758761597
2016-04-06,1.0182303119144185,1.0189291860899543,1.0192608902916391
2016-04-07,1.0182225717428373,1.0189136998606505,1.019246764566079
