date,mu,kappa,theta,xi,rho,v0,optimization_success,objective,iterations,ticker
2016-03-04,-0.4722872239508835,3.0490745786591997,0.029541396651232208,0.42443826629345915,-0.057775972793946105,0.13317390124817605,True,-101.80984634055716,10,AAPL
2016-03-07,-0.4722872239508835,3.0490745786591997,0.029541396651232208,0.42443826629345915,-0.057775972793946105,0.13317390124817605,True,-102.42997802883238,0,AAPL
2016-03-08,-0.4722872239508835,3.0490745786591997,0.029541396651232208,0.42443826629345915,-0.057775972793946105,0.13317390124817605,True,-102.90668336636367,0,AAPL
2016-03-09,-0.4722872239508835,3.0490745786591997,0.029541396651232208,0.42443826629345915,-0.057775972793946105,0.13317390124817605,True,-104.76473450964598,0,AAPL
2016-03-10,-0.4722872239508835,3.0490745786591997,0.029541396651232208,0.42443826629345915,-0.057775972793946105,0.13317390124817605,True,-105.0788601478257,0,AAPL
2016-03-11,-0.4722872239508835,3.0490745786591997,0.029541396651232208,0.42443826629345915,-0.057775972793946105,0.13317390124817605,True,-105.3614309956399,0,AAPL
2016-03-14,-0.4722872239508835,3.0490745786591997,0.029541396651232208,0.42443826629345915,-0.057775972793946105,0.13317390124817605,True,-105.78967109998477,0,AAPL
2016-03-15,-0.4722872239508835,3.0490745786591997,0.029541396651232208,0.42443826629345915,-0.057775972793946105,0.13317390124817605,True,-105.87551720973147,0,AAPL
2016-03-16,-0.4722872239508835,3.0490745786591997,0.029541396651232208,0.42443826629345915,-0.057775972793946105,0.13317390124817605,True,-106.19447138626595,0,AAPL
2016-03-17,-0.4722872239508835,3.0490745786591997,0.029541396651232208,0.42443826629345915,-0.057775972793946105,0.13317390124817605,True,-107.0591066185739,0,AAPL
2016-03-18,-0.043500087052563904,3.515580658943172,0.01053081763162355,0.2606149734171433,-0.999,0.12208182266304514,False,-108.86381801170927,12,AAPL
2016-03-21,-0.043500087052563904,3.515580658943172,0.01053081763162355,0.2606149734171433,-0.999,0.12208182266304514,True,-109.42783696984372,0,AAPL
