date,mu,kappa,theta,xi,rho,v0,optimization_success,objective,iterations,ticker
2020-02-14,0.30638045578822504,3.009872309969671,0.0852128853616131,0.6916080153630924,-0.4935641470656057,0.038729842363124364,True,-96.5175581788464,6,SPY
2020-02-18,0.30638045578822504,3.009872309969671,0.0852128853616131,0.6916080153630924,-0.4935641470656057,0.038729842363124364,True,-93.75432261430647,0,SPY
2020-02-19,0.30638045578822504,3.009872309969671,0.0852128853616131,0.6916080153630924,-0.4935641470656057,0.038729842363124364,True,-93.5522334456874,0,SPY
2020-02-20,0.30638045578822504,3.009872309969671,0.0852128853616131,0.6916080153630924,-0.4935641470656057,0.038729842363124364,True,-91.70523986781254,0,SPY
2020-02-21,0.30638045578822504,3.009872309969671,0.0852128853616131,0.6916080153630924,-0.4935641470656057,0.038729842363124364,True,-87.97174965137158,0,SPY
2020-02-24,0.30638045578822504,3.009872309969671,0.0852128853616131,0.6916080153630924,-0.4935641470656057,0.038729842363124364,True,-92.78567202427384,0,SPY
2020-02-25,0.30638045578822504,3.009872309969671,0.0852128853616131,0.6916080153630924,-0.4935641470656057,0.038729842363124364,True,-85.21094889721742,0,SPY
2020-02-26,0.30638045578822504,3.009872309969671,0.0852128853616131,0.6916080153630924,-0.4935641470656057,0.038729842363124364,True,-89.38864897252101,0,SPY
2020-02-27,0.30638045578822504,3.009872309969671,0.0852128853616131,0.6916080153630924,-0.4935641470656057,0.038729842363124364,True,-83.16138807870642,0,SPY
2020-02-28,0.30638045578822504,3.009872309969671,0.0852128853616131,0.6916080153630924,-0.4935641470656057,0.038729842363124364,True,-81.62276262815591,0,SPY
2020-03-02,0.30638045578822504,3.009872309969671,0.0852128853616131,0.6916080153630924,-0.4935641470656057,0.038729842363124364,True,-84.39021590169659,0,SPY
2020-03-03,0.30638045578822504,3.009872309969671,0.0852128853616131,0.6916080153630924,-0.4935641470656057,0.038729842363124364,True,-84.16798419006751,0,SPY
2020-03-04,0.30638045578822504,3.009872309969671,0.0852128853616131,0.6916080153630924,-0.4935641470656057,0.038729842363124364,True,-82.18072394009664,0,SPY
2020-03-05,0.30638045578822504,3.009872309969671,0.0852128853616131,0.6916080153630924,-0.4935641470656057,0.038729842363124364,True,-80.25435761802177,0,SPY
2020-03-06,0.30638045578822504,3.009872309969671,0.0852128853616131,0.6916080153630924,-0.4935641470656057,0.038729842363124364,True,-79.38348675249799,0,SPY
2020-03-09,-0.015493392030501579,2.3852345313586945,0.8226102645772222,1.8360123092979936,-0.6630355553773826,0.03872984476359799,False,-75.84508569263953,12,SPY
2020-03-10,-0.015493392030501579,2.3852345313586945,0.8226102645772222,1.8360123092979936,-0.6630355553773826,0.03872984476359799,True,-69.26446899752281,0,SPY
2020-03-11,-0.015493392030501579,2.3852345313586945,0.8226102645772222,1.8360123092979936,-0.6630355553773826,0.03872984476359799,True,-75.22731617333399,0,SPY
2020-03-12,-0.015493392030501579,2.3852345313586945,0.8226102645772222,1.8360123092979936,-0.6630355553773826,0.03872984476359799,True,-71.66862249477616,0,SPY
2020-03-13,-0.015493392030501579,2.3852345313586945,0.8226102645772222,1.8360123092979936,-0.6630355553773826,0.03872984476359799,True,-68.62535065793986,0,SPY
2020-03-16,-0.015493392030501579,2.3852345313586945,0.8226102645772222,1.8360123092979936,-0.6630355553773826,0.03872984476359799,True,-62.53602760983483,0,SPY
2020-03-17,-0.015493392030501579,2.3852345313586945,0.8226102645772222,1.8360123092979936,-0.6630355553773826,0.03872984476359799,True,-57.74602811934,0,SPY
2020-03-18,-0.015493392030501579,2.3852345313586945,0.8226102645772222,1.8360123092979936,-0.6630355553773826,0.03872984476359799,True,-58.0293006104868,0,SPY
2020-03-19,-0.015493392030501579,2.3852345313586945,0.8226102645772222,1.8360123092979936,-0.6630355553773826,0.03872984476359799,True,-61.13366878665615,0,SPY
2020-03-20,-0.015493392030501579,2.3852345313586945,0.8226102645772222,1.8360123092979936,-0.6630355553773826,0.03872984476359799,True,-59.34470082728333,0,SPY
