strategy,total_return,sharpe_ratio,calmar_ratio,max_drawdown
Base carry,-0.007768034748594332,-0.24569842401988048,-0.5514409062791872,-0.029651747126824057
Timed carry,-0.00010000261029829982,0.034359103926015225,0.06557618781582886,-0.039728435241868976
