date,ticker,spot,log_return,atm_implied_vol,rv_21d,rv_63d,benchmark_realized_vol,spread,smoothed_spread,spread_zscore,allocation,benchmark_name
2020-02-03,SPY,324.12,0.007338971116288562,0.15918,0.1200180341586012,,0.1200180341586012,0.03916196584139879,0.03916196584139879,0.0,1.0,rv_21d
2020-02-04,SPY,329.06,0.01512628736597943,0.139005,0.12777226025390326,,0.12777226025390326,0.011232739746096732,0.029852223809631442,0.0,1.0,rv_21d
2020-02-05,SPY,332.84,0.01142178907372493,0.128005,0.13252236749213958,,0.13252236749213958,-0.0045173674921395734,0.018395693375707775,0.0,1.0,rv_21d
2020-02-06,SPY,333.93,0.003269496141014905,0.12329000000000001,0.13175928899611455,,0.13175928899611455,-0.008469288996114543,0.009440699251767003,0.0,1.0,rv_21d
2020-02-07,SPY,332.24,-0.005073790850746107,0.12821,0.13308351574246619,,0.13308351574246619,-0.004873515742466195,0.004669294253689272,-1.0967396754864318,0.5613041298054273,rv_21d
2020-02-10,SPY,334.75,0.007526385248784351,0.12312999999999999,0.1335176650629294,,0.1335176650629294,-0.010387665062929402,-0.00034969218518361884,-1.1259298831511921,0.5496280467395231,rv_21d
2020-02-11,SPY,335.27,0.0015521927835076,0.124775,0.13268836143221355,,0.13268836143221355,-0.00791336143221355,-0.0028709152675269294,-1.068960014929132,0.5724159940283471,rv_21d
2020-02-12,SPY,337.44,0.006451539375674997,0.112055,0.13242158542048282,,0.13242158542048282,-0.02036658542048282,-0.008702805318512226,-1.1909721913695064,0.5236111234521974,rv_21d
2020-02-13,SPY,337.17,-0.00080046253217958,0.116755,0.1322459139925538,,0.1322459139925538,-0.015490913992553812,-0.01096550820985942,-1.1395289795939734,0.5441884081624107,rv_21d
2020-02-14,SPY,337.6,0.0012745085235170706,0.107985,0.1322091824574977,,0.1322091824574977,-0.02422418245749769,-0.015385066292405509,-1.2062600991212113,0.5174959603515155,rv_21d
2020-02-18,SPY,336.73,-0.002580340434851003,0.11718,0.130438479484454,,0.130438479484454,-0.013258479484453994,-0.014676204023088339,-1.048401090232607,0.5806395639069571,rv_21d
2020-02-19,SPY,338.32,0.004710770877282222,0.121885,0.13082430961462096,,0.13082430961462096,-0.008939309614620972,-0.01276390588693255,-0.8721051182615358,0.6511579526953857,rv_21d
2020-02-20,SPY,336.99,-0.0039389368426459015,0.127745,0.13148830538167197,,0.13148830538167197,-0.003743305381671974,-0.009757039051845693,-0.6664910356858279,0.7334035857256689,rv_21d
2020-02-21,SPY,333.45,-0.010560327243272383,0.14584,0.13727556221998738,,0.13727556221998738,0.008564437780012618,-0.0036498801078929236,-0.3084349034181314,0.8766260386327475,rv_21d
2020-02-24,SPY,322.42,-0.03363788563046288,0.21355,0.18057928802724857,,0.18057928802724857,0.03297071197275142,0.008556983918988525,0.3935382601154821,1.157415304046193,rv_21d
2020-02-25,SPY,312.59,-0.030962615735435683,0.24548,0.20634321153457888,,0.20634321153457888,0.039136788465421124,0.018750252101132726,0.9494189374660087,1.3797675749864036,rv_21d
