date,ticker,spot,log_return,atm_implied_vol,rv_21d,rv_63d,estimated_variance,estimated_realized_vol,predicted_return,innovation,window_log_likelihood,spread,smoothed_spread,spread_zscore,allocation
2020-03-04,SPY,313.05,0.04151434935312093,0.251295,0.33824775390754136,,0.1291566516096789,0.3593837108296353,-0.0012059555801129176,0.042720304933233845,123.38953043889474,-0.10808871082963528,-0.10808871082963528,0.0,1.0
2020-03-05,SPY,302.51,-0.03424858741558179,0.34012,0.3504087063487539,,0.09269644765346044,0.30446091317845786,-0.0010632602732736987,-0.03318532714230809,118.61065566850914,0.03565908682154212,-0.06017277827924282,0.0,1.0
2020-03-06,SPY,297.46,-0.016834572611285736,0.347865,0.34839893318774867,,0.10143818864315926,0.3184936241797617,-0.0010981529765059922,-0.015736419634779744,119.70145109614032,0.0293713758202383,-0.030324726912749116,0.0,1.0
2020-03-09,SPY,274.48,-0.0804013636142571,0.487275,0.43268243234668174,,0.14365888589864417,0.3790235954378621,-0.001127442927798518,-0.07927392068645858,112.70633966185164,0.10825140456213789,0.01586731691221321,0.0,1.0
2020-03-10,SPY,288.39,0.04943533219563978,0.41383000000000003,0.47825048076800936,,0.11396617432397287,0.33758876510330266,-0.001180171910970633,0.050615504106610414,108.66606362677167,0.07624123489669737,0.0359919562403746,1.1261312764939477,1.4504525105975792
2020-03-11,SPY,274.25,-0.05027363159049525,0.498745,0.49802962285171437,,0.142072238836274,0.3769247124244761,-0.0011515059158501567,-0.04912212567464509,106.52320826020645,0.12182028757552388,0.0646014000187577,1.213237449966419,1.4852949799865676
2020-03-12,SPY,247.91,-0.10097432208147517,0.70953,0.5879096431841693,,0.20699886548812663,0.4549712798497578,-0.0012403311304523615,-0.09973399095102281,101.52675416225904,0.25455872015024217,0.12792050672925254,1.5250313121723478,1.6100125248689392
2020-03-13,SPY,270.94,0.08883161707872667,0.4892,0.6857918466668765,,0.14170918853676764,0.376442809118155,-0.0012663138320716805,0.09009793091079835,90.38013167817498,0.11275719088184505,0.12286606811345005,1.2061530754230607,1.4824612301692244
2020-03-16,SPY,239.75,-0.12230068038904296,0.760235,0.7860707387943447,,0.1881071027656872,0.43371315724299536,-0.0011840626537194254,-0.12111661773532353,74.82234911681235,0.32652184275700463,0.19075132632796826,1.5531110164310737,1.6212444065724294
2020-03-17,SPY,254.1,0.058131176562570275,0.651435,0.8257061090433697,,0.16434878980557796,0.40539954342053464,-0.0012866382806904775,0.05941781484326075,72.38991622365378,0.24603545657946535,0.209179369745134,1.4363283239589437,1.5745313295835777
2020-03-18,SPY,241.23,-0.05197705509795103,0.707545,0.8351291327294844,,0.5627215783407284,0.7501477043494358,-0.0015575202428080373,-0.05041953485514299,93.44071206210576,-0.042602704349435805,0.12525201171361075,0.6054195750704396,1.2421678300281758
2020-03-19,SPY,240.94,-0.001202895389460501,0.661365,0.833541504463986,,0.563617968833191,0.7507449425958134,-0.0016559135782582626,0.0004530181887977616,92.29777488136342,-0.08937994259581339,0.053708026943802716,-0.08767160470972395,0.9649313581161104
2020-03-20,SPY,228.95,-0.051044300735601844,0.59738,0.8407773692295616,,0.6070079293825034,0.7791071360105126,-0.0016485382358706058,-0.04939576249973124,91.0947284299181,-0.1817271360105126,-0.02477036070763572,-0.8298754893361837,0.6680498042655265
