date,mu,kappa,theta,xi,rho,v0,optimization_success,objective,iterations,ticker
2020-03-04,-0.22936329579763637,2.994485914618225,0.06265288092865896,0.6936472566257038,-0.5044888165439034,0.06231875480558311,True,-122.33032866167353,6,SPY
2020-03-05,-0.22936329579763637,2.994485914618225,0.06265288092865896,0.6936472566257038,-0.5044888165439034,0.06231875480558311,True,-118.61065566850914,0,SPY
2020-03-06,-0.22936329579763637,2.994485914618225,0.06265288092865896,0.6936472566257038,-0.5044888165439034,0.06231875480558311,True,-119.70145109614032,0,SPY
2020-03-09,-0.22936329579763637,2.994485914618225,0.06265288092865896,0.6936472566257038,-0.5044888165439034,0.06231875480558311,True,-112.70633966185164,0,SPY
2020-03-10,-0.22936329579763637,2.994485914618225,0.06265288092865896,0.6936472566257038,-0.5044888165439034,0.06231875480558311,True,-108.66606362677167,0,SPY
2020-03-11,-0.22936329579763637,2.994485914618225,0.06265288092865896,0.6936472566257038,-0.5044888165439034,0.06231875480558311,True,-106.52320826020645,0,SPY
2020-03-12,-0.22936329579763637,2.994485914618225,0.06265288092865896,0.6936472566257038,-0.5044888165439034,0.06231875480558311,True,-101.52675416225904,0,SPY
2020-03-13,-0.22936329579763637,2.994485914618225,0.06265288092865896,0.6936472566257038,-0.5044888165439034,0.06231875480558311,True,-90.38013167817498,0,SPY
2020-03-16,-0.22936329579763637,2.994485914618225,0.06265288092865896,0.6936472566257038,-0.5044888165439034,0.06231875480558311,True,-74.82234911681235,0,SPY
2020-03-17,-0.22936329579763637,2.994485914618225,0.06265288092865896,0.6936472566257038,-0.5044888165439034,0.06231875480558311,True,-72.38991622365378,0,SPY
2020-03-18,-0.13633674784327315,2.977547662241908,0.7428817792705956,1.3290122291380153,-0.6826531992302397,0.03872985805980323,False,-93.44071206210576,12,SPY
2020-03-19,-0.13633674784327315,2.977547662241908,0.7428817792705956,1.3290122291380153,-0.6826531992302397,0.03872985805980323,True,-92.29777488136342,0,SPY
2020-03-20,-0.13633674784327315,2.977547662241908,0.7428817792705956,1.3290122291380153,-0.6826531992302397,0.03872985805980323,True,-91.0947284299181,0,SPY
2020-03-23,-0.13633674784327315,2.977547662241908,0.7428817792705956,1.3290122291380153,-0.6826531992302397,0.03872985805980323,True,-89.94003247537064,0,SPY
2020-03-24,-0.13633674784327315,2.977547662241908,0.7428817792705956,1.3290122291380153,-0.6826531992302397,0.03872985805980323,True,-87.25464814865653,0,SPY
2020-03-25,-0.13633674784327315,2.977547662241908,0.7428817792705956,1.3290122291380153,-0.6826531992302397,0.03872985805980323,True,-86.86863088729629,0,SPY
2020-03-26,-0.13633674784327315,2.977547662241908,0.7428817792705956,1.3290122291380153,-0.6826531992302397,0.03872985805980323,True,-83.16884938499658,0,SPY
2020-03-27,-0.13633674784327315,2.977547662241908,0.7428817792705956,1.3290122291380153,-0.6826531992302397,0.03872985805980323,True,-85.96072264321707,0,SPY
2020-03-30,-0.13633674784327315,2.977547662241908,0.7428817792705956,1.3290122291380153,-0.6826531992302397,0.03872985805980323,True,-84.83188141967449,0,SPY
2020-03-31,-0.13633674784327315,2.977547662241908,0.7428817792705956,1.3290122291380153,-0.6826531992302397,0.03872985805980323,True,-83.67702356088833,0,SPY
2020-04-01,-0.0015072019649846414,3.124723255194945,1.041797271053896,1.4903253879831315,-0.9731732851496193,0.06461626095717724,False,-85.861669615597,12,SPY
2020-04-02,-0.0015072019649846414,3.124723255194945,1.041797271053896,1.4903253879831315,-0.9731732851496193,0.06461626095717724,True,-84.5489820866286,0,SPY
2020-04-03,-0.0015072019649846414,3.124723255194945,1.041797271053896,1.4903253879831315,-0.9731732851496193,0.06461626095717724,True,-82.79206080577302,0,SPY
2020-04-06,-0.0015072019649846414,3.124723255194945,1.041797271053896,1.4903253879831315,-0.9731732851496193,0.06461626095717724,True,-80.64819490873906,0,SPY
2020-04-07,-0.0015072019649846414,3.124723255194945,1.041797271053896,1.4903253879831315,-0.9731732851496193,0.06461626095717724,True,-79.73979010883455,0,SPY
2020-04-08,-0.0015072019649846414,3.124723255194945,1.041797271053896,1.4903253879831315,-0.9731732851496193,0.06461626095717724,True,-79.22309206450701,0,SPY
2020-04-09,-0.0015072019649846414,3.124723255194945,1.041797271053896,1.4903253879831315,-0.9731732851496193,0.06461626095717724,True,-78.10286755899769,0,SPY
2020-04-13,-0.0015072019649846414,3.124723255194945,1.041797271053896,1.4903253879831315,-0.9731732851496193,0.06461626095717724,True,-77.27189318446952,0,SPY
2020-04-14,-0.0015072019649846414,3.124723255194945,1.041797271053896,1.4903253879831315,-0.9731732851496193,0.06461626095717724,True,-76.05483290302489,0,SPY
2020-04-15,-0.0015072019649846414,3.124723255194945,1.041797271053896,1.4903253879831315,-0.9731732851496193,0.06461626095717724,True,-75.14129134614898,0,SPY
2020-04-16,-0.4905958830685213,3.160337189535447,0.7438568013787372,2.168365059706959,-0.9863960714337617,0.03872984167107135,False,-76.37799524164492,12,SPY
2020-04-17,-0.4905958830685213,3.160337189535447,0.7438568013787372,2.168365059706959,-0.9863960714337617,0.03872984167107135,True,-75.1690134379867,0,SPY
2020-04-20,-0.4905958830685213,3.160337189535447,0.7438568013787372,2.168365059706959,-0.9863960714337617,0.03872984167107135,True,-74.09323593523754,0,SPY
2020-04-21,-0.4905958830685213,3.160337189535447,0.7438568013787372,2.168365059706959,-0.9863960714337617,0.03872984167107135,True,-72.5816762620374,0,SPY
2020-04-22,-0.4905958830685213,3.160337189535447,0.7438568013787372,2.168365059706959,-0.9863960714337617,0.03872984167107135,True,-70.14791283403508,0,SPY
2020-04-23,-0.4905958830685213,3.160337189535447,0.7438568013787372,2.168365059706959,-0.9863960714337617,0.03872984167107135,True,-70.05988433735251,0,SPY
2020-04-24,-0.4905958830685213,3.160337189535447,0.7438568013787372,2.168365059706959,-0.9863960714337617,0.03872984167107135,True,-67.68520070509396,0,SPY
2020-04-27,-0.4905958830685213,3.160337189535447,0.7438568013787372,2.168365059706959,-0.9863960714337617,0.03872984167107135,True,-65.06858753328683,0,SPY
2020-04-28,-0.4905958830685213,3.160337189535447,0.7438568013787372,2.168365059706959,-0.9863960714337617,0.03872984167107135,True,64.81830648750135,0,SPY
