strategy,total_return,sharpe_ratio,calmar_ratio,max_drawdown
Base carry,0.038133795357332856,0.48571605817370095,0.418207245725697,-0.029651747126824057
Timed carry UKF,0.04510979204990684,0.49660655881436766,0.49477397079540386,-0.029651747126824057
Timed carry RV_21d,0.05198904210722688,0.8553867234147938,0.9327977042622513,-0.017731972753269543
