proxy,corr_vs_rv_21d,corr_vs_rv_63d,mae_vs_rv_21d,mae_vs_rv_63d
UKF sigma_hat,0.307724072418106,0.5344138270401009,0.16114366509009145,0.15480205924866206
IV ATM,0.8515398781416665,0.6635615118481816,0.048802897697372186,0.054122402873021044
