date,base_nav,ukf_timed_nav,rv_21d_timed_nav
2020-01-05,1.0,1.0,1.0
2020-01-06,1.0,1.0,1.0
2020-01-07,1.0,1.0,1.0
2020-01-08,0.9999897017630581,0.9999897017630581,0.9999897017630581
2020-01-09,1.0000205964738835,1.0000205964738835,1.0000205964738835
2020-01-10,1.0000334467300682,1.0000334467300682,1.0000334467300682
2020-01-13,1.0000411591377782,1.0000411591377782,1.0000411591377782
2020-01-14,1.000046296986253,1.000046296986253,1.000046296986253
2020-01-15,1.0000539841422618,1.0000539841422618,1.0000539841422618
2020-01-16,1.0000591023740335,1.0000591023740335,1.0000591023740335
2020-01-17,1.0000769378386358,1.0000769378386358,1.0000769378386358
2020-01-20,1.0000769378386358,1.0000769378386358,1.0000769378386358
2020-01-21,1.000077055503964,1.000077055503964,1.000077055503964
2020-01-22,1.0000871253719126,1.0000871253719126,1.0000871253719126
2020-01-23,1.0000896354848168,1.0000896354848168,1.0000896354848168
2020-01-24,1.0000393171934892,1.0000393171934892,1.0000393171934892
2020-01-27,0.9999385708751536,0.9999385708751536,0.9999385708751536
2020-01-28,1.0002796172378632,1.0002796172378632,1.0002796172378632
2020-01-29,1.000332695561946,1.000332695561946,1.000332695561946
2020-01-30,1.0003479065133891,1.0003479065133891,1.0003479065133891
2020-01-31,1.000130910398725,1.000130910398725,1.000130910398725
2020-02-03,1.000398880720531,1.000398880720531,1.000398880720531
2020-02-04,1.0004735124571693,1.0004735124571693,1.0004735124571693
2020-02-05,1.0004759869447406,1.0004759869447406,1.0004759869447406
2020-02-06,1.0004863505594157,1.0004863505594157,1.0004863505594157
2020-02-07,1.0004993050777595,1.0004993050777595,1.0004993050777595
2020-02-10,1.000524353987958,1.000524353987958,1.000524353987958
2020-02-11,1.000544415895328,1.000544415895328,1.0005389114754537
2020-02-12,1.00054943023321,1.00054943023321,1.0005428249293609
2020-02-13,1.0005519396800722,1.0005519396800722,1.000544233492248
2020-02-14,1.0005816677669344,1.0005816677669344,1.0005599885552237
2020-02-17,1.0005816677669344,1.0005816677669344,1.0005599885552237
2020-02-18,1.0005915514441894,1.0005915514441894,1.000565163730104
2020-02-19,1.0006039037357983,1.0006039037357983,1.0005716012802957
2020-02-20,1.0006039037357983,1.0006039037357983,1.0005716012802957
2020-02-21,1.0005916064865883,1.0005916064865883,1.0005619436329118
2020-02-24,0.9993559370543281,0.9993559370543281,0.9997432542382044
2020-02-25,0.9941498534325158,0.9941498534325158,0.9958775259611858
2020-02-26,0.9935500529514276,0.9935500529514276,0.9954728767715029
2020-02-27,0.9874460040459968,0.9874460040459968,0.9901220813050057
2020-02-28,0.9853762425506171,0.9853762425506171,0.9877219694529148
2020-03-02,0.9892312677623591,0.9892312677623591,0.9933662284450748
2020-03-03,0.9895883327491348,0.9895883327491348,0.994436310929525
2020-03-04,0.9895505787867986,0.9895505787867986,0.9937029323694216
2020-03-05,0.9920477487549476,0.9920477487549476,0.9987108074655892
2020-03-06,0.991724712539848,0.991724712539848,0.9988922397246204
2020-03-09,0.9829313183532206,0.9829313183532206,0.9925003293138516
2020-03-10,0.9939487027860233,0.9939487027860233,1.0007762829483973
2020-03-11,0.983607488042727,0.983607488042727,0.9930419186553044
2020-03-12,0.9709342498081113,0.9709342498081113,0.983030545167038
2020-03-13,0.9913851854680399,0.9952648647812942,0.9990230048971891
2020-03-16,0.9807993750661408,0.9795418137322638,0.9908764508220071
2020-03-17,0.9959799691495371,1.002070128719515,0.9992061620174446
2020-03-18,0.9861549809433882,0.9874891228357513,0.9937248894768708
2020-03-19,0.9871285192588745,0.9889323556445441,0.9939959557762065
2020-03-20,0.982050510752564,0.9811329922238823,0.9923123232589083
2020-03-23,0.9817993447223995,0.9808190941209484,0.9923004760134658
2020-03-24,0.9860871300545279,0.9869682856158983,0.992566957890405
2020-03-25,0.9879766455252974,0.9893213900896421,0.99265540650364
2020-03-26,0.9800398074273035,0.9840094979328249,0.99265540650364
2020-03-27,0.9897160431423918,0.9896624009354977,0.9929755370622292
2020-03-30,0.9898292533022506,0.9897128195524594,0.9929853961555191
2020-03-31,0.9945676986816797,0.9919058714455175,0.9935917018267547
2020-04-01,0.9961864964490551,0.9926219580149048,0.9937213255803796
2020-04-02,0.9978842032020788,0.9934533839228638,0.9940454617631981
2020-04-03,0.9999408633264948,0.9942208185473544,0.9946504655250628
2020-04-06,0.9957436076209274,0.9927676353985316,0.9933156969490661
2020-04-07,0.9965802831120758,0.9930141638214773,0.9936117413031074
2020-04-08,0.9868883868713623,0.9900636509660395,0.9902482537302577
2020-04-09,0.9842456069018682,0.989388098501611,0.9892414928861312
2020-04-10,0.9842456069018682,0.989388098501611,0.9892414928861312
2020-04-13,0.9853610008926993,0.9898500063859481,0.989748994927354
2020-04-14,0.9851730812529397,0.9897721849489131,0.9896634918660611
2020-04-15,0.9856337874665438,0.9899629729880958,0.9898731122743922
2020-04-16,0.9856337874665438,0.9899629729880958,0.9898731122743922
2020-04-17,0.985562847910738,0.9899228996521408,0.9898123601761807
2020-04-20,0.9863930725421106,0.9903748852453972,0.9904946400895255
2020-04-21,0.9851794705312125,0.9894295871085313,0.9890166256885481
2020-04-22,0.9873244312086127,0.9910346861250177,0.9915180328439765
2020-04-23,0.987699914022445,0.9913236025918628,0.9919693203956246
2020-04-24,0.9885088997237179,0.9921560145655032,0.9932424884517165
2020-04-27,0.9886439785718456,0.992313702796601,0.9934752872181749
2020-04-28,0.9889047878908528,0.9926286623318226,0.9939261960868094
2020-04-29,0.9886194886771857,0.9922473552002562,0.9934279630228007
2020-04-30,0.9890297355572367,0.9928002668797091,0.994145023591377
2020-05-01,0.9883754701381605,0.992941435819144,0.9931254498334282
2020-05-04,0.9891935134984318,0.992941435819144,0.994421642567308
2020-05-05,0.9898301072337357,0.993056340638079,0.9954240575831641
2020-05-06,0.9900514037263476,0.9931369455110634,0.9957703042561734
2020-05-07,0.9901067713941327,0.9931695304597166,0.9958562564384325
2020-05-08,0.9902606537456797,0.9933233648709309,0.9960920253495708
2020-05-11,0.9904491961287551,0.9935322461485782,0.9963798935136567
2020-05-12,0.9902319775251393,0.9933190264277669,0.9960653951512134
2020-05-13,0.9899052535269526,0.9929866732711512,0.995585069152633
